K,chosen_amp,mean_amp,median_amp,min_amp,max_amp,ratio_lt_N,num_valid_candidates
15,15,15.0,15.0,15,15,1.0,1
16,0,34.216,35.0,0,36,0.52,1000
17,27,33.861,35.0,27,36,0.702,1000
18,2,34.094,36.0,2,36,0.385,1000
19,9,34.392,35.0,9,36,0.573,1000
20,2,34.19,36.0,2,36,0.303,1000
21,10,34.547,36.0,10,36,0.45,1000
22,0,34.231,36.0,0,36,0.256,1000
23,4,31.459,36.0,4,36,0.409,1000
24,0,25.65,36.0,0,36,0.368,1000
25,2,30.674,36.0,2,36,0.354,1000
26,0,33.643,36.0,0,36,0.131,1000
27,8,30.655,36.0,8,36,0.32,1000
28,0,30.385,36.0,0,36,0.24,1000
29,8,29.619,36.0,8,36,0.35,1000
30,2,26.855,36.0,2,36,0.35,1000
31,8,16.7222,10.0,8,36,0.764293,997
32,2,13.1723,10.0,2,36,0.860513,975
33,10,12.7868,10.0,10,36,0.90991,333
35,10,10.0,10.0,10,10,1.0,1
