sample;t_index;node;node_clock;degree;C0;C1;C2;C3;C4;C5;C6;C7;;
K15_N36_amp15_idx1_seed386425251;270;4;1;15;0;5;5;0;2;0;3;0;;
K15_N36_amp15_idx1_seed386425251;270;7;1;15;0;3;5;3;2;0;2;0;;
K15_N36_amp15_idx1_seed386425251;270;9;1;15;0;4;4;2;2;0;3;0;;
K15_N36_amp15_idx1_seed386425251;270;10;1;15;0;4;5;3;1;0;2;0;;
K15_N36_amp15_idx1_seed386425251;270;15;1;15;0;3;6;1;3;0;2;0;;
K15_N36_amp15_idx1_seed386425251;270;22;1;15;0;4;6;2;2;0;1;0;;
K15_N36_amp15_idx1_seed386425251;270;31;1;15;0;5;6;0;0;0;4;0;;
K15_N36_amp15_idx1_seed386425251;270;5;2;15;0;3;5;3;1;0;3;0;;
K15_N36_amp15_idx1_seed386425251;270;8;2;15;0;4;5;2;0;0;4;0;;
K15_N36_amp15_idx1_seed386425251;270;12;2;15;0;4;7;2;1;0;1;0;;
K15_N36_amp15_idx1_seed386425251;270;18;2;15;0;2;7;2;1;0;3;0;;
K15_N36_amp15_idx1_seed386425251;270;20;2;15;0;2;5;3;4;0;1;0;;
K15_N36_amp15_idx1_seed386425251;270;23;2;15;0;4;6;3;1;0;1;0;;
K15_N36_amp15_idx1_seed386425251;270;25;2;15;0;5;4;1;3;0;2;0;;
K15_N36_amp15_idx1_seed386425251;270;26;2;15;0;3;4;3;0;0;5;0;;
K15_N36_amp15_idx1_seed386425251;270;28;2;15;0;3;5;1;3;0;3;0;;
K15_N36_amp15_idx1_seed386425251;270;29;2;15;0;5;6;1;2;0;1;0;;
K15_N36_amp15_idx1_seed386425251;270;33;2;15;0;2;6;3;2;0;2;0;;
K15_N36_amp15_idx1_seed386425251;270;13;3;15;0;3;5;1;3;0;3;0;;
K15_N36_amp15_idx1_seed386425251;270;14;3;15;0;3;6;1;1;0;4;0;;
K15_N36_amp15_idx1_seed386425251;270;19;3;15;0;3;6;0;3;0;3;0;;
K15_N36_amp15_idx1_seed386425251;270;32;3;15;0;2;7;0;4;0;2;0;;
K15_N36_amp15_idx1_seed386425251;270;1;4;15;0;5;2;1;2;0;5;0;;8
K15_N36_amp15_idx1_seed386425251;270;2;4;15;0;1;4;3;1;0;6;0;;10
K15_N36_amp15_idx1_seed386425251;270;21;4;15;0;1;6;3;0;0;5;0;;8
K15_N36_amp15_idx1_seed386425251;270;27;4;15;0;2;4;1;1;0;7;0;;9
K15_N36_amp15_idx1_seed386425251;270;34;4;15;0;3;2;3;2;0;5;0;;10
K15_N36_amp15_idx1_seed386425251;270;0;6;15;0;2;3;1;3;0;6;0;;
K15_N36_amp15_idx1_seed386425251;270;3;6;15;0;1;4;2;2;0;6;0;;
K15_N36_amp15_idx1_seed386425251;270;6;6;15;0;4;3;0;3;0;5;0;;
K15_N36_amp15_idx1_seed386425251;270;11;6;15;0;2;1;4;4;0;4;0;;
K15_N36_amp15_idx1_seed386425251;270;16;6;15;0;4;1;1;3;0;6;0;;
K15_N36_amp15_idx1_seed386425251;270;17;6;15;0;1;3;0;5;0;6;0;;
K15_N36_amp15_idx1_seed386425251;270;24;6;15;0;1;4;0;4;0;6;0;;
K15_N36_amp15_idx1_seed386425251;270;30;6;15;0;1;3;3;2;0;6;0;;
