sample;t_index;node;node_clock;degree;C0;C1;C2;C3;C4;C5;C6;C7
K15_N36_amp15_idx7_seed701147635;270;0;0;15;4;5;1;2;3;0;0;0
K15_N36_amp15_idx7_seed701147635;270;3;0;15;5;3;2;4;1;0;0;0
K15_N36_amp15_idx7_seed701147635;270;11;0;15;3;5;1;5;1;0;0;0
K15_N36_amp15_idx7_seed701147635;270;16;0;15;4;5;1;2;3;0;0;0
K15_N36_amp15_idx7_seed701147635;270;30;0;15;4;5;1;4;1;0;0;0
K15_N36_amp15_idx7_seed701147635;270;34;0;15;2;6;2;2;3;0;0;0
K15_N36_amp15_idx7_seed701147635;270;35;0;15;4;6;1;2;2;0;0;0
K15_N36_amp15_idx7_seed701147635;270;1;1;15;3;5;2;2;3;0;0;0
K15_N36_amp15_idx7_seed701147635;270;2;1;15;6;1;4;4;0;0;0;0
K15_N36_amp15_idx7_seed701147635;270;6;1;15;4;4;1;2;4;0;0;0
K15_N36_amp15_idx7_seed701147635;270;17;1;15;6;5;1;1;2;0;0;0
K15_N36_amp15_idx7_seed701147635;270;21;1;15;3;3;3;5;1;0;0;0
K15_N36_amp15_idx7_seed701147635;270;24;1;15;6;4;2;1;2;0;0;0
K15_N36_amp15_idx7_seed701147635;270;25;1;15;3;2;4;2;4;0;0;0
K15_N36_amp15_idx7_seed701147635;270;27;1;15;4;4;3;3;1;0;0;0
K15_N36_amp15_idx7_seed701147635;270;18;2;15;2;3;3;5;2;0;0;0
K15_N36_amp15_idx7_seed701147635;270;20;2;15;1;4;3;5;2;0;0;0
K15_N36_amp15_idx7_seed701147635;270;28;2;15;2;5;2;4;2;0;0;0
K15_N36_amp15_idx7_seed701147635;270;32;2;15;3;4;4;3;1;0;0;0
K15_N36_amp15_idx7_seed701147635;270;33;2;15;1;4;2;5;3;0;0;0
K15_N36_amp15_idx7_seed701147635;270;5;3;15;2;2;3;6;2;0;0;0
K15_N36_amp15_idx7_seed701147635;270;13;3;15;4;2;2;3;4;0;0;0
K15_N36_amp15_idx7_seed701147635;270;14;3;15;4;1;1;5;4;0;0;0
K15_N36_amp15_idx7_seed701147635;270;15;3;15;2;4;1;4;4;0;0;0
K15_N36_amp15_idx7_seed701147635;270;19;3;15;4;2;2;4;3;0;0;0
K15_N36_amp15_idx7_seed701147635;270;22;3;15;1;3;3;3;5;0;0;0
K15_N36_amp15_idx7_seed701147635;270;23;3;15;0;2;4;4;5;0;0;0
K15_N36_amp15_idx7_seed701147635;270;26;3;15;4;1;3;4;3;0;0;0
K15_N36_amp15_idx7_seed701147635;270;29;3;15;0;3;3;3;6;0;0;0
K15_N36_amp15_idx7_seed701147635;270;4;4;15;3;2;1;5;4;0;0;0
K15_N36_amp15_idx7_seed701147635;270;7;4;15;1;3;1;8;2;0;0;0
K15_N36_amp15_idx7_seed701147635;270;8;4;15;2;3;1;5;4;0;0;0
K15_N36_amp15_idx7_seed701147635;270;9;4;15;3;3;1;4;4;0;0;0
K15_N36_amp15_idx7_seed701147635;270;10;4;15;2;2;2;3;6;0;0;0
K15_N36_amp15_idx7_seed701147635;270;12;4;15;1;1;2;7;4;0;0;0
K15_N36_amp15_idx7_seed701147635;270;31;4;15;2;3;2;4;4;0;0;0


sample;t_index;node;node_clock;degree;C0;C1;C2;C3;C4;C5;C6;C7
K15_N36_amp15_idx7_seed701147635;271;0;1;15;0;4;5;1;2;0;3;0
K15_N36_amp15_idx7_seed701147635;271;3;1;15;0;5;3;2;4;0;1;0
K15_N36_amp15_idx7_seed701147635;271;11;1;15;0;3;5;1;5;0;1;0
K15_N36_amp15_idx7_seed701147635;271;16;1;15;0;4;5;1;2;0;3;0
K15_N36_amp15_idx7_seed701147635;271;30;1;15;0;4;5;1;4;0;1;0
K15_N36_amp15_idx7_seed701147635;271;34;1;15;0;2;6;2;2;0;3;0
K15_N36_amp15_idx7_seed701147635;271;35;1;15;0;4;6;1;2;0;2;0
K15_N36_amp15_idx7_seed701147635;271;1;2;15;0;3;5;2;2;0;3;0
K15_N36_amp15_idx7_seed701147635;271;2;2;15;0;6;1;4;4;0;0;0
K15_N36_amp15_idx7_seed701147635;271;6;2;15;0;4;4;1;2;0;4;0
K15_N36_amp15_idx7_seed701147635;271;17;2;15;0;6;5;1;1;0;2;0
K15_N36_amp15_idx7_seed701147635;271;21;2;15;0;3;3;3;5;0;1;0
K15_N36_amp15_idx7_seed701147635;271;24;2;15;0;6;4;2;1;0;2;0
K15_N36_amp15_idx7_seed701147635;271;25;2;15;0;3;2;4;2;0;4;0
K15_N36_amp15_idx7_seed701147635;271;27;2;15;0;4;4;3;3;0;1;0
K15_N36_amp15_idx7_seed701147635;271;18;3;15;0;2;3;3;5;0;2;0
K15_N36_amp15_idx7_seed701147635;271;20;3;15;0;1;4;3;5;0;2;0
K15_N36_amp15_idx7_seed701147635;271;28;3;15;0;2;5;2;4;0;2;0
K15_N36_amp15_idx7_seed701147635;271;32;3;15;0;3;4;4;3;0;1;0
K15_N36_amp15_idx7_seed701147635;271;33;3;15;0;1;4;2;5;0;3;0
K15_N36_amp15_idx7_seed701147635;271;5;4;15;0;2;2;3;6;0;2;0
K15_N36_amp15_idx7_seed701147635;271;13;4;15;0;4;2;2;3;0;4;0
K15_N36_amp15_idx7_seed701147635;271;14;4;15;0;4;1;1;5;0;4;0
K15_N36_amp15_idx7_seed701147635;271;15;4;15;0;2;4;1;4;0;4;0
K15_N36_amp15_idx7_seed701147635;271;19;4;15;0;4;2;2;4;0;3;0
K15_N36_amp15_idx7_seed701147635;271;22;4;15;0;1;3;3;3;0;5;0
K15_N36_amp15_idx7_seed701147635;271;23;4;15;0;0;2;4;4;0;5;0
