K,chosen_amp,mean_amp,median_amp,min_amp,max_amp,ratio_lt_N,num_valid_candidates
15,15,15.0,15.0,15,15,1.0,1
16,2,33.99,35.0,2,36,0.54,100
17,28,33.7,34.0,28,36,0.72,100
18,26,34.81,36.0,26,36,0.46,100
19,28,34.3,35.0,28,36,0.57,100
20,2,34.32,36.0,2,36,0.35,100
21,27,33.96,35.0,27,36,0.64,100
22,10,35.05,36.0,10,36,0.31,100
23,8,32.87,36.0,8,36,0.43,100
24,8,27.51,36.0,8,36,0.33,100
25,8,15.41,10.0,8,36,0.82,100
26,8,10.76,8.0,8,36,0.94,100
27,8,18.39,12.0,8,36,0.73,100
28,8,24.01,36.0,8,36,0.48,100
29,8,14.44,8.0,8,36,0.82,100
30,8,17.16,10.0,8,36,0.71,100
31,8,21.07,14.0,8,36,0.65,100
32,8,8.56,8.0,8,10,1.0,100
33,10,11.64,10.0,10,36,0.94,100
34,10,10.0,10.0,10,10,1.0,100
35,10,10.0,10.0,10,10,1.0,100
